n,case,ref,lane,reference_claim,finding_id,finding_title,finding_description,verdict,note
1,01-payments-checkout,1,spoofing,"An attacker POSTs a forged settlement webhook to the storefront API, impersonating the card processor to mark an unpaid order as paid.",S-02,Forged settlement callbacks are possible if webhook authentication is absent,"`flow:entity:card-processor>process:storefront-api>settlement-webhook` crosses from `boundary:public-internet` to `process:storefront-api`, but its `authentication` attribute is unknown. If that unknown resolves to no sender verification, an internet attacker who can address the endpoint can forge a callback as `entity:card-processor` and cause `process:storefront-api` to treat a fabricated settlement confirmation as authentic. The callback is described as marking an order paid, so successful forgery can affect the financial order state handled by the storefront and order-capture path. This threat is conditional on resolving the flow's unknown authentication state; it does not assert that verification is absent.",same,Both describe impersonating the card processor through a forged settlement webhook that marks an order paid; the draft preserves the authentication condition.
2,01-payments-checkout,4,tampering,"An attacker with the shared full read/write database account alters order rows, changing prices or payment status directly.",T-03,A leaked order-service database password enables direct rewriting of all orders,"`flow:process:order-service>store:orders-db>read-write-orders` uses one application account with full read/write access and a password held in the order-service environment. An attacker who obtains that static password can alter order rows directly in `store:orders-db`, bypassing validation in `process:order-service`; orders, shipping addresses, and payment-related last-four records can be rewritten. Second-order, later reads by `process:order-service` over the same read-write flow consume the poisoned records as database state, extending the integrity loss into order handling and receipts.",same,Both describe direct alteration of order rows using the application's full read/write database credential.
3,01-payments-checkout,10,information-disclosure,"An attacker who reaches the database storage or its backups reads shopper addresses and card last-four, because protection at rest is unverified.",I-05,A storage-layer copy of the orders database may disclose confidential customer data,"`store:orders-db` is classified confidential and holds shopper addresses and card last-four data, but its `encryption_at_rest` attribute is unknown. If storage encryption is not enabled and enforced for the database's operational copies, an attacker or over-privileged operator obtaining underlying media, an exported snapshot, or a decommissioned volume can read the order corpus without using the application read path. The disclosed records can then be correlated with data handled by `process:order-service` through `flow:process:order-service>store:orders-db>read-write-orders`. This threat is conditional on the unresolved at-rest encryption posture; it does not assert that the database is unencrypted.",same,Both describe disclosure of shopper addresses and card last-four from database storage copies if protection at rest is absent.
4,01-payments-checkout,11,information-disclosure,"An attacker with access to the internal network reads order contents and shopper identifiers off the gRPC channel, whose encryption is unverified.",I-03,Order and address data may be readable between the DMZ and core service,"`flow:process:storefront-api>process:order-service>submit-order` crosses from `boundary:storefront-dmz` to `boundary:core-services` and carries order contents, shopper identifiers, and shipping addresses. Its `encryption_in_transit` is unknown, so if encryption is absent on this internal hop, a compromised workload or network observer positioned between the storefront API and order service can intercept the PII and financial order data. The disclosed identifiers and order details then correlate with the records that `process:order-service` persists to `store:orders-db`. This threat is conditional on verification of the internal gRPC transport.",same,Both describe a network observer reading order data and shopper identifiers on the internal gRPC hop if transport encryption is absent.
5,02-iot-fleet-telemetry,0,spoofing,An attacker who extracts the fleet-wide pre-shared key from any one node publishes readings to the gateway as any other device in the fleet.,S-01,A shared fleet key lets an attacker publish as another sensor node,"An attacker with physical access to any `entity:sensor-node` can extract the fleet-wide pre-shared key and use it over `flow:entity:sensor-node>process:device-gateway>publish-readings` to authenticate to `process:device-gateway` as another node in that fleet. Because the same unrotated credential identifies every device rather than one device, the gateway cannot distinguish the impostor from a genuine node. Second-order: accepted fabricated readings are forwarded through `store:pub-sub`, consumed by `process:telemetry-normalizer`, and loaded into `store:telemetry-lake`, affecting customer site-address and occupancy telemetry.",same,Both describe extracting the shared fleet key from one node and using it to publish as another node.
6,02-iot-fleet-telemetry,1,spoofing,"An attacker with physical access presents themselves as a field technician on the node's serial console, whose authentication is unverified.",S-02,An attacker may impersonate a field technician at an unverified serial console,"`flow:entity:field-technician>entity:sensor-node>local-service-session` has `authentication: unknown`. If the local serial console does not verify technician identity, an attacker physically present at a customer site can pose as `entity:field-technician` to an `entity:sensor-node` and obtain the read-write service session. This is conditional on the unknown authentication attribute, not an assertion that the console lacks authentication. Second-order: the session exposes device configuration and diagnostics and may affect how that node subsequently publishes readings to `process:device-gateway`.",same,Both describe physical impersonation of a field technician at the serial console if technician authentication is absent.
7,02-iot-fleet-telemetry,6,information-disclosure,"An attacker who obtains a read grant on the telemetry lake reads customer site addresses and occupancy patterns, and nothing records who holds that grant or whether protection at rest would stop a raw copy.",I-04,A telemetry-lake storage copy could reveal customer occupancy data if unencrypted at rest,"`store:telemetry-lake` is a confidential BigQuery dataset tagged `pii` and `business-critical-data`, yet its `encryption_at_rest` setting is unknown. If storage encryption or equivalent protection for exports, snapshots, and backups is absent, a person obtaining a raw operational copy can read site addresses, occupancy patterns, and normalized readings without using the company-SSO dashboard path. Second-order, correlating the resulting site and occupancy information can expose when customer locations are occupied across the dataset. This claim is conditional on the unverified at-rest-encryption attribute.",different,The reference describes reading through a lake read grant; the draft describes reading a raw storage copy without such a grant. Mentioning at-rest uncertainty in the reference does not establish the same access mechanism.
8,02-iot-fleet-telemetry,7,information-disclosure,"An attacker on the path between a node and the gateway reads readings and the presented key, because transport encryption on the MQTT session is unverified.",I-01,Sensor readings may be intercepted on the unverified MQTT ingress path,"`flow:entity:sensor-node>process:device-gateway>publish-readings` crosses from `boundary:field-network` to the internet-facing `process:device-gateway` and carries PII-tagged readings with a device identifier, but its `encryption_in_transit` is unknown. If MQTT transport protection is not enabled end-to-end, an attacker able to observe a customer-site or Internet ingress path can intercept those readings and associate activity with devices. Second-order, the observed readings are forwarded through `store:pub-sub` to `process:telemetry-normalizer` and ultimately contribute to the customer-site data held in `store:telemetry-lake`. This is conditional on resolving the unknown transport-encryption setting.",different,"The draft covers interception of readings but omits recovery of the presented fleet key, a distinct credential-disclosure consequence explicitly included in the reference."
9,02-iot-fleet-telemetry,10,denial-of-service,An attacker floods the internet-exposed MQTT broker with connections until genuine nodes can no longer publish readings.,D-02,Fleet-key telemetry flooding can saturate the shared Pub/Sub ingestion path,"A party that obtains the fleet-wide pre-shared key from any deployed node can send a high volume of otherwise accepted readings through `flow:entity:sensor-node>process:device-gateway>publish-readings`. Because the same key is shared by every device and has not been rotated, one usable fleet credential can make `process:device-gateway` forward attacker volume over `flow:process:device-gateway>store:pub-sub>forward-readings` into `store:pub-sub`. If Pub/Sub ingress quotas, retention budgets, subscriber backpressure, and per-device message limits are not configured, the attacker spends messages while exhausting shared broker throughput or quota. Second-order, `process:telemetry-normalizer` cannot keep up with or consume legitimate readings over `flow:process:telemetry-normalizer>store:pub-sub>pick-up-readings`; fresh telemetry is delayed before it can be loaded into `store:telemetry-lake`, affecting fleet-wide analytics and dashboards. This is conditional on the unstated capacity and per-device metering controls.",different,The reference exhausts MQTT connections so nodes cannot publish; the draft uses authenticated message volume to exhaust downstream Pub/Sub capacity and delay processing.
10,03-batch-data-pipeline,0,spoofing,An attacker who obtains a partner's never-rotated static SFTP key uploads extracts as that partner.,S-01,Unrotated partner SFTP keys enable impersonation of an insurance partner,"An attacker who obtains a static key for `entity:insurance-partner` can present it on `flow:entity:insurance-partner>store:landing-bucket>push-daily-extract` and authenticate as that partner to `store:landing-bucket`; because the key has never been rotated, the model gives no expiry or rotation limit on the impersonation window. The attacker can upload a purported partner extract that `process:ingest-scheduler` will read without checking which partner deposited it. Second-order, the scheduler triggers `process:spark-transform-job`, which loads normalized records into `store:claims-warehouse`; an impersonated partner can therefore introduce fabricated claim data into the confidential warehouse containing health and PII records.",same,Both describe using a compromised static partner SFTP key to impersonate the partner and upload extracts.
11,03-batch-data-pipeline,8,information-disclosure,"An analyst who needs only aggregate figures reads member names and dates of birth, because the grant covers the whole dataset.",I-04,Dataset-wide analyst grant discloses member-identifying claim fields beyond analytical need,"An internal analyst authenticated on `flow:entity:data-analyst>store:claims-warehouse>run-queries` has a dataset-wide grant with no column-level restriction, allowing that analyst—or an attacker using that analyst's authorized account—to query member-identifying fields directly from `store:claims-warehouse`. The warehouse contains normalized claim records with member names and dates of birth, so the grant enables broad reading of health-related personal data rather than only the fields necessary for a particular analysis. Second-order, the extracted identities and claim data can be correlated with the partner extracts in `store:landing-bucket` and used for targeted privacy or social-engineering attacks.",same,Both describe a dataset-wide analyst grant exposing member names and dates of birth beyond analytical need.
12,03-batch-data-pipeline,9,information-disclosure,"An attacker who reaches the Airflow metadata database recovers every partner key and connection string it holds, since its protection at rest is unverified.",I-02,Airflow metadata storage may yield partner keys and connection strings if unencrypted at rest,"`store:airflow-metadata-database` is confidential and explicitly holds credentials and secrets: connection strings and partner SFTP keys. Its `encryption_at_rest` is unknown. If storage encryption is absent, a party obtaining a database backup, disk, or operational copy can recover those credentials without authenticating through `flow:process:ingest-scheduler>store:airflow-metadata-database>read-connections`. The recovered partner keys enable subsequent access attempts against `flow:entity:insurance-partner>store:landing-bucket>push-daily-extract` and may expose or enable access to the partners' submitted claim extracts; this is conditional on the unknown encryption state.",same,Both describe recovering partner keys and connection strings from Airflow metadata storage if protection at rest is absent.
13,04-ml-inference-service,0,spoofing,"An attacker who obtains a calling team's API key calls the inference gateway as that team for as long as the key stays valid, and no key has ever been expired.",S-01,A stolen long-lived team API key can be replayed as that calling team,"An attacker who obtains a per-team API key can present it in the header on `flow:entity:calling-service>process:inference-gateway>submit-inference-request` and act as `entity:calling-service` to `process:inference-gateway`. The key is bearer-style and has never been expired, so the gateway cannot distinguish the attacker from the legitimate calling team while the key remains valid. Second-order: the attacker can submit inference requests containing end-user text through the gateway, which records requests and responses in `store:inference-log`.",same,Both describe replaying a stolen calling-team API key as that team while it remains valid.
14,04-ml-inference-service,1,spoofing,"Any workload inside the model network submits inference requests posing as the gateway, which the model server accepts on network position alone.",S-02,A serving-edge foothold can impersonate the gateway to the model server,"An attacker with a foothold in the serving-edge zone can send requests on `flow:process:inference-gateway>process:model-server>forward-request` while posing as `process:inference-gateway`; `process:model-server` accepts that flow with no authentication because it trusts network position. This is a decided boundary crossing, although the serving-edge placement of `process:inference-gateway` was inferred by the model and should be confirmed. Second-order: requests accepted as gateway traffic cause `process:model-server` to run inference and read customer features from `store:redis-feature-store`, which is confidential and tagged `pii` and `financial`.",same,Both describe impersonating the gateway to an unauthenticated model server that trusts network position. The draft proposes a different foothold location whose reachability needs confirmation.
15,04-ml-inference-service,4,tampering,An attacker with model-network access writes to the unauthenticated Redis feature store and changes the features a decision is made on.,T-02,Model-network attacker can alter customer features if Redis write authorization is absent,"`store:redis-feature-store` has no password, while authentication on `flow:process:model-server>store:redis-feature-store>read-features` is unverified. If that unknown authentication state means there is no compensating Redis ACL or other write restriction, an attacker who first gains a foothold in `boundary:model-network` can directly alter per-customer account-age and spend-band records in `store:redis-feature-store`. Second-order, `process:model-server` reads those altered features through `flow:process:model-server>store:redis-feature-store>read-features` and produces inference results based on attacker-modified customer data.",same,Both describe a model-network attacker modifying Redis features consumed by inference; the draft appropriately conditions write access on the absence of compensating restrictions.
16,04-ml-inference-service,8,information-disclosure,"An attacker who obtains a read grant on the inference log reads the raw end-user prompts the source says it retains, and nothing records who holds that grant.",I-05,Unverified protection of raw-prompt inference logs may expose retained user content,"`process:inference-gateway` records every request and response in `store:inference-log`, including raw prompts that can contain what end users typed. The log is tagged `pii`, while both its encryption at rest and the gateway-to-log flow's authentication are unknown. If storage-layer encryption or access controls are absent or overly broad, an attacker who obtains a BigQuery storage copy or an over-privileged logging principal can read retained prompts and model responses in bulk. This creates a second disclosure surface separate from the live inference API and gives the attacker historical content that can be correlated with activity handled by `process:inference-gateway`.",same,The draft's over-privileged logging-principal branch covers reading retained raw prompts through excessive access; its storage-copy branch adds another disclosure route.
