case,framework,ref,tier,class,holder,note
01,asvs,0,MF,silent,query construction,
01,asvs,1,--,silent,input validation rules,
01,asvs,2,MF,silent,validation enforcement side,
01,asvs,3,MF,silent,cookie attributes,
01,asvs,4,--,silent,response content types,
01,asvs,5,MF,silent,password policy,
01,asvs,6,MF,silent,credential stuffing control,
01,asvs,7,MF,silent,session termination,
01,asvs,8,--,silent,token entropy,
01,asvs,9,MF,predicate,authorization-grant,single account full read/write
01,asvs,10,--,silent,object ownership check,
01,asvs,11,MF,silent,cipher at rest,
01,asvs,12,MF,silent,transport on gRPC,
01,asvs,13,MF,predicate,credential-custody,password in an environment variable
01,asvs,14,--,field,data_classification,
01,asvs,15,--,silent,patch windows,
01,asvs,16,MF,predicate,record-attribution,receipt names the order service (registry v8)
01,asvs,17,--,silent,error responses,
01,stride,0,MF,field,authentication,session cookie
01,stride,1,MF,silent,webhook authentication,
01,stride,2,--,field,authentication,single application account
01,stride,3,MF,silent,transport on gRPC,
01,stride,4,MF,predicate,authorization-grant,full read/write
01,stride,5,--,silent,webhook authentication,
01,stride,6,--,predicate,authorization-grant,service account writes receipts
01,stride,7,MF,predicate,record-attribution,receipt names the order service (registry v8)
01,stride,8,--,silent,webhook sender identity,
01,stride,9,--,field,authentication,shared account; audit silent
01,stride,10,MF,silent,protection at rest,
01,stride,11,MF,silent,transport on gRPC,
01,stride,12,--,silent,transport on db connection,
01,stride,13,--,predicate,credential-custody,password in an environment variable
01,stride,14,MF,field,exposure,
01,stride,15,--,field,exposure,
01,stride,16,--,predicate,mfa-requirement,no MFA
01,stride,17,--,field,authentication,none on gRPC
01,stride,18,--,silent,object ownership check,
02,stride,0,MF,predicate,credential-sharing,fleet-wide key
02,stride,1,MF,silent,console authentication,
02,stride,2,--,silent,image signature check,
02,stride,3,MF,silent,image signature check,
02,stride,4,--,silent,registry write access,
02,stride,5,MF,predicate,credential-sharing,no per-device identity
02,stride,6,MF,silent,who holds a read grant,
02,stride,7,MF,silent,transport on MQTT,
02,stride,8,--,field,authentication,public read
02,stride,9,--,silent,protection at rest,
02,stride,10,MF,field,exposure,
02,stride,11,--,predicate,credential-sharing,any key holder can publish
02,stride,12,--,silent,operator grant scope,
02,stride,13,--,silent,anti-rollback check,
02,stride,14,--,field,authentication,public read
02,stride,15,--,silent,content validation,
03,stride,0,MF,predicate,credential-rotation,static key never changed
03,stride,1,MF,predicate,origin-verification,scheduler does not check the depositor
03,stride,2,--,silent,trigger authentication,
03,stride,3,MF,predicate,content-validation,only the schema is checked (registry v8)
03,stride,4,--,silent,metadata db write access,
03,stride,5,--,structure,,compromised transform writes the warehouse
03,stride,6,--,silent,file-to-key attribution,
03,stride,7,--,silent,lineage,
03,stride,8,MF,predicate,authorization-grant,dataset-wide grant
03,stride,9,MF,predicate,credential-custody,keys in the metadata database
03,stride,10,--,silent,protection at rest,
03,stride,11,--,silent,transport on the load,
03,stride,12,MF,silent,size or window limits,
03,stride,13,--,predicate,content-validation,only the schema is checked (registry v8)
03,stride,14,--,predicate,authorization-grant,dataset-wide grant
03,stride,15,--,silent,replay or freshness control,
03,stride,16,--,silent,job admission limits,
04,asvs,0,MF,silent,response content types,
04,asvs,1,MF,silent,artifact size or type limits,
04,asvs,2,--,silent,artifact validation,
04,asvs,3,MF,field,authentication,API key carries no claims
04,asvs,4,MF,predicate,credential-rotation,"""we have never expired one""; the signed row reads credential-expiry unknown"
04,asvs,5,--,field,authentication,none; network position
04,asvs,6,--,silent,cipher at rest,
04,asvs,7,MF,silent,transport on the internal link,
04,asvs,8,--,silent,service account limits,
04,stride,0,MF,predicate,credential-rotation,"""we have never expired one"""
04,stride,1,MF,field,authentication,none; network position
04,stride,2,--,silent,publisher identity (hedged),
04,stride,3,MF,silent,artifact integrity check (hedged),
04,stride,4,MF,field,authentication,"""Redis has no password""; the signed row reads unknown"
04,stride,5,--,silent,transport on the internal link,
04,stride,6,--,silent,publisher identity (hedged),
04,stride,7,--,predicate,credential-sharing,key per team
04,stride,8,MF,silent,who holds a read grant,
04,stride,9,MF,field,authentication,Redis has no password
04,stride,10,--,structure,,model returns another tenant's features
04,stride,11,--,silent,transport on the internal link,
04,stride,12,MF,silent,rate or capacity limits,
04,stride,13,--,field,authentication,Redis has no password
04,stride,14,--,silent,registry write access,
04,stride,15,--,silent,key scope,
04,stride,16,--,silent,transport on the caller link,
05,asvs,0,MF,silent,security response headers,
05,asvs,1,--,silent,cookie attributes,
05,asvs,2,MF,predicate,credential-custody,credentials in the config stores
05,asvs,3,MF,silent,job resource bounds,
05,asvs,4,MF,structure,,no WebRTC path
