case,flow,source,source_zone,source_unstated,destination,destination_zone,destination_unstated,protocol,authentication,encryption,category,also_cites,finding
01,entity:shopper>process:storefront-api>place-order,entity:shopper,boundary:public-internet,,process:storefront-api,boundary:storefront-dmz,UNSTATED,unknown,session cookie issued after email and password login; no MFA,unknown,,entity:shopper process:storefront-api,Nothing says which side enforces validation of the order the shopper submits.
01,entity:shopper>process:storefront-api>place-order,entity:shopper,boundary:public-internet,,process:storefront-api,boundary:storefront-dmz,UNSTATED,unknown,session cookie issued after email and password login; no MFA,unknown,,entity:shopper process:storefront-api,The shopper session cookie is named and none of its attributes is stated.
01,entity:shopper>process:storefront-api>place-order,entity:shopper,boundary:public-internet,,process:storefront-api,boundary:storefront-dmz,UNSTATED,unknown,session cookie issued after email and password login; no MFA,unknown,,entity:shopper,The shopper login carries no stated control against credential stuffing or password brute force.
01,entity:shopper>process:storefront-api>place-order,entity:shopper,boundary:public-internet,,process:storefront-api,boundary:storefront-dmz,UNSTATED,unknown,session cookie issued after email and password login; no MFA,unknown,,process:storefront-api,Nothing states whether a terminated shopper session stops being accepted.
01,entity:shopper>process:storefront-api>place-order,entity:shopper,boundary:public-internet,,process:storefront-api,boundary:storefront-dmz,UNSTATED,unknown,session cookie issued after email and password login; no MFA,unknown,spoofing,entity:shopper,An attacker who obtains a shopper's session cookie replays it against the storefront API and places orders as that shopper.
01,entity:card-processor>process:storefront-api>settlement-webhook,entity:card-processor,boundary:public-internet,,process:storefront-api,boundary:storefront-dmz,UNSTATED,unknown,unknown,unknown,spoofing,process:storefront-api,"An attacker POSTs a forged settlement webhook to the storefront API, impersonating the card processor to mark an unpaid order as paid."
01,entity:card-processor>process:storefront-api>settlement-webhook,entity:card-processor,boundary:public-internet,,process:storefront-api,boundary:storefront-dmz,UNSTATED,unknown,unknown,unknown,denial-of-service,process:storefront-api,An attacker floods the unauthenticated settlement webhook endpoint until the storefront API stops serving shoppers.
01,process:storefront-api>process:order-service>submit-order,process:storefront-api,boundary:storefront-dmz,UNSTATED,process:order-service,boundary:core-services,,gRPC,none; accepted by network position,unknown,,process:order-service process:storefront-api,The gRPC link between the storefront API and the order service states no transport protection.
01,process:storefront-api>process:order-service>submit-order,process:storefront-api,boundary:storefront-dmz,UNSTATED,process:order-service,boundary:core-services,,gRPC,none; accepted by network position,unknown,spoofing,process:order-service,Any workload that can reach the order service impersonates the storefront API on the unauthenticated gRPC channel and submits orders.
01,process:storefront-api>process:order-service>submit-order,process:storefront-api,boundary:storefront-dmz,UNSTATED,process:order-service,boundary:core-services,,gRPC,none; accepted by network position,unknown,tampering,,"An attacker positioned in the storefront tier modifies order contents in flight on the gRPC channel, whose transport protection is unverified."
