n,arm,case,ref,lane,reference_claim,finding_title,finding_description,verdict
1,S2,10-cookbook-generic-cms,4,tampering,An attacker who can write to the CDN bucket replaces a published asset and every reader of the site loads it.,Offline tampering with CDN bucket media could plant altered site assets,"`store:cdn-bucket` holds published images, stylesheets, and downloads and has `encryption_at_rest: unknown`. If the unknown state resolves to no effective protection for bucket media, exports, or backups, an attacker with offline storage access can plant or replace an asset before it is made available again. Second-order, `entity:cdn` distributes the altered object through `flow:entity:reader>entity:cdn>asset-fetch` as a normal site asset. This is conditional on the unverified at-rest protection state.",same
2,S1,02-iot-fleet-telemetry,6,information-disclosure,"An attacker who obtains a read grant on the telemetry lake reads customer site addresses and occupancy patterns, and nothing records who holds that grant or whether protection at rest would stop a raw copy.",A telemetry-lake snapshot could disclose customer site and occupancy data if unencrypted,"`store:telemetry-lake` is confidential, holds `pii` and business-critical data, and has `encryption_at_rest: unknown`. If that unknown resolves to unencrypted at-rest storage, an attacker who obtains a storage-layer copy of the BigQuery dataset, such as an authorized export, backup, snapshot, or decommissioned storage artifact, can read customer site addresses and occupancy patterns without using the company-SSO dashboard path. This disclosure enables surveillance and targeting of customer premises and is irreversible once copied; the claim is conditional on the unresolved encryption-at-rest setting.",different
3,S2,12-overclaiming-supplier-portal,13,elevation-of-privilege,"A signed-in supplier reaches another supplier's compliance documents through the portal, if the portal does not authorize access per tenant, which the source does not state either way.",A supplier credential could be used to alter another supplier's portal documents if ownership scope is not enforced,"A supplier holding the vendor-issued credential on `flow:entity:supplier>process:supplier-portal>upload-documents` crosses into the tenant boundary at `process:supplier-portal` to upload its own compliance paperwork. If `process:supplier-portal` does not derive document ownership from that authenticated supplier and authorize each write against it, a legitimate supplier could submit a write targeting another supplier's document or record, exercising its upload grant beyond its intended scope. This is conditional: the model states authentication for the upload but does not state server-side per-document ownership enforcement. The resulting authority reaches `store:document-store` through `flow:process:supplier-portal>store:document-store>store-documents`, where supplier documents contain `pii` and `business-critical-data`.",same
4,C2,12-overclaiming-supplier-portal,8,information-disclosure,"An attacker who obtains a read grant on the landing bucket reads the whole supplier extract, which the runbook says arrives as a plain CSV; nothing records who holds that grant or how the bucket is protected at rest.",A landing-bucket storage copy may disclose the nightly supplier extract,"`store:landing-bucket` receives and retains the nightly supplier data extract and is tagged `pii` and `business-critical-data`, while `encryption_at_rest` is unknown. If storage encryption is absent or does not cover operational copies, a cloud-account insider or attacker obtaining the bucket's underlying object, backup, snapshot, or exported copy can read the plain CSV directly rather than accessing it through `process:supplier-master-service`. Second-order, this is a bulk disclosure of the file that `process:supplier-master-service` loads into `store:supplier-database`, exposing the supplier records used by downstream management operations.",different
5,C1,12-overclaiming-supplier-portal,8,information-disclosure,"An attacker who obtains a read grant on the landing bucket reads the whole supplier extract, which the runbook says arrives as a plain CSV; nothing records who holds that grant or how the bucket is protected at rest.",A copied landing-bucket extract may disclose supplier data if encryption at rest is absent,"`store:landing-bucket` holds the nightly supplier data extract and is tagged `pii` and `business-critical-data`, while `encryption_at_rest` is `unknown`. If this bucket or its operational copies are unencrypted at rest, an attacker or over-privileged cloud storage operator who obtains the underlying object or media can read the extract without authenticating to `process:supplier-master-service`. Second-order, the extract is consumed through `flow:process:supplier-master-service>store:landing-bucket>load-extract` and becomes supplier records in `store:supplier-database`, so disclosure reveals the input corpus for the downstream master-data process. This claim is conditional on verification of the at-rest control.",different
6,S2,05-cookbook-queue-webapp,3,tampering,An attacker who can write to the web application config changes the queue endpoint or credentials and redirects the application's work.,Tampered web-application configuration could alter queue behavior,"`store:web-application-config` is configuration that holds the web application's message-queue credentials, and `process:web-application` reads it through `flow:process:web-application>store:web-application-config>read-configuration`. If the unknown at-rest protection reflects storage media, snapshots, or restore artifacts that lack tamper protection, an attacker with access to that offline material can alter configuration or substitute queue credentials before the web application loads them. Second-order, `process:web-application` can then enqueue jobs using attacker-selected settings through `flow:process:web-application>store:message-queue>enqueue-job`, changing work trusted by the backend worker. This is conditional on the unverified at-rest protection and does not assert that such offline access exists.",same
7,S2,12-overclaiming-supplier-portal,8,information-disclosure,"An attacker who obtains a read grant on the landing bucket reads the whole supplier extract, which the runbook says arrives as a plain CSV; nothing records who holds that grant or how the bucket is protected at rest.",A landing-bucket copy may expose the supplier extract if at-rest encryption is absent,"`store:landing-bucket` retains the nightly supplier data extract and has `encryption_at_rest: unknown`. If the bucket or its operational copies are unencrypted at rest, an attacker or over-privileged cloud operator who obtains a copied object, backup, or underlying storage media can read the extract without authenticating through `process:supplier-master-service`. The PII and business-critical supplier data can then be correlated with the records that the service writes to `store:supplier-database`. This is a conditional finding about the unresolved at-rest control.",different
8,C2,05-cookbook-queue-webapp,6,information-disclosure,An attacker who compromises the background worker reads the database credentials from its config store.,Unverified at-rest encryption could expose both application configuration secrets,"`store:web-application-config` contains the web application's message-queue credentials and `store:worker-config` contains the worker's database credentials; both stores are tagged `credentials` and `secrets`, while `encryption_at_rest` is unknown. If either store or its operational copies is unencrypted at rest, an attacker who obtains storage-layer access, a decommissioned volume, or an exported operational copy can read the configuration directly without using the processes' normal read flows. The recovered queue or database credentials then enable attempts to reach `store:message-queue` or `store:database` respectively. This is conditional on the unverified at-rest encryption attributes, not an assertion that either store is unencrypted.",different
9,C1,05-cookbook-queue-webapp,7,information-disclosure,An attacker who compromises the internet-facing web application reads the queue credentials from its config store.,Configuration-store copies may disclose queue and database credentials at rest,"`store:web-application-config` and `store:worker-config` contain credentials and secrets, but each has `encryption_at_rest: unknown`. If either store or its operational copies are unencrypted at rest, an attacker who obtains underlying storage media, a snapshot, backup, or decommissioned copy can recover the respective queue or database credential without going through the application configuration-read flows. Those recovered credentials enable subsequent attempts to access `store:message-queue` or `store:database`; this is a conditional disclosure threat, not an assertion that either configuration store lacks encryption.",different
10,C2,02-iot-fleet-telemetry,6,information-disclosure,"An attacker who obtains a read grant on the telemetry lake reads customer site addresses and occupancy patterns, and nothing records who holds that grant or whether protection at rest would stop a raw copy.",A telemetry-lake snapshot may expose customer locations and occupancy patterns,"`store:telemetry-lake` is a confidential store tagged `pii` and `business-critical-data`, but its `encryption_at_rest` attribute is unknown. If it is not effectively encrypted at rest, anyone who obtains a storage-layer artifact such as an export, snapshot, backup, or decommissioned storage copy can read site addresses, occupancy patterns, and normalized readings without authenticating through the BigQuery dashboard flow. Second-order, the artifact provides corpus-scale customer surveillance data equivalent to information read by `entity:fleet-operator` through `flow:entity:fleet-operator>store:telemetry-lake>query-dashboards`. This is conditional on resolving the unknown encryption-at-rest control.",different
